city,area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa,rent amount,property tax,fire insurance,total
1,340,4,6,4,8,acept,furnished,"3,100","2,800","1,667",36,"7,603"
0,134,3,3,2,7,not acept,not furnished,"1,000","2,500",177,32,"3,709"
1,97,2,2,0,9,acept,furnished,453,"3,000",0,39,"3,492"
1,90,1,1,0,-,not acept,not furnished,Sem info,"1,150",59,18,"1,227"
1,260,4,5,2,1,acept,furnished,"2,600","8,000",417,102,"11,120"
1,66,2,1,0,7,acept,not furnished,356,"1,650",0,21,"2,027"
1,92,2,1,1,12,not acept,not furnished,"2,750","2,930",448,38,"6,166"
1,92,3,3,1,3,acept,furnished,750,"4,250",21,54,"5,075"
1,155,3,4,2,14,acept,not furnished,"1,400","13,100",409,166,"15,080"
1,30,1,1,0,1,not acept,not furnished,Sem info,900,0,12,912
1,27,1,1,0,5,not acept,not furnished,"1,405","3,500",1,45,"4,951"
1,175,4,3,2,-,acept,not furnished,0,"3,200",380,49,"3,629"
1,326,3,4,4,12,acept,not furnished,"2,808","6,500","1,605",83,"11,000"
1,236,4,5,4,7,acept,not furnished,"3,500","10,000","1,834",127,"15,460"
0,119,3,1,1,5,acept,not furnished,926,"1,200",100,16,"2,242"
1,23,1,1,0,23,acept,not furnished,383,"2,050",40,26,"2,499"
1,260,2,4,4,19,not acept,not furnished,"2,000","8,000",667,102,"10,770"
1,400,3,3,2,-,not acept,not furnished,0,"12,000",0,181,"12,180"
